City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Sijunjung,ID,-0.6876,100.9537,76.73,70,50,1.72,scattered clouds
262,Mabaruma,GY,8.2,-59.7833,72.73,94,48,4.16,scattered clouds
263,Togur,RU,58.3631,82.8265,11.77,98,100,4.79,overcast clouds
264,Lufilufi,WS,-13.8745,-171.5986,83.07,72,88,13.22,overcast clouds
265,Asau,RO,46.4333,26.4,37.96,100,100,2.06,overcast clouds
266,Hearst,CA,49.6835,-83.6665,32.85,99,100,3.94,overcast clouds
267,Matara,LK,5.9485,80.5353,76.39,86,12,1.23,few clouds
268,Beyneu,KZ,45.3167,55.2,56.25,44,14,15.32,few clouds
269,Damghan,IR,36.1683,54.348,59.22,26,2,1.36,clear sky
270,Nantucket,US,41.2835,-70.0995,44.71,74,0,14.97,clear sky
271,Sitka,US,57.0531,-135.33,40.89,75,100,11.5,moderate rain
272,Tura,IN,25.5198,90.2201,71.08,89,4,4.07,moderate rain
273,Moron,AR,-34.6534,-58.6198,65.97,63,0,8.7,clear sky
274,Nago,JP,26.5881,127.9761,63.45,85,100,8.93,moderate rain
275,Denpasar,ID,-8.65,115.2167,83.86,79,20,3.44,few clouds
276,Ambovombe,MG,-25.1667,46.0833,69.15,78,0,3.96,clear sky
277,Haines Junction,CA,60.7522,-137.5108,35.55,66,100,2.01,overcast clouds
278,Vorotynets,RU,56.0603,45.8633,36.37,100,100,6.87,overcast clouds
279,Dovers,VC,12.8833,-61.1833,78.76,75,41,21.72,scattered clouds
280,Victor Harbor,AU,-35.5667,138.6167,64.89,62,14,8.08,few clouds
281,Lac-Megantic,CA,45.5834,-70.8823,31.55,89,97,6.67,overcast clouds
282,Mehendiganj,BD,22.8167,90.5333,80.71,75,56,7.76,broken clouds
283,Roald,NO,62.5833,6.1333,38.75,87,100,11.5,light rain
284,Suluq,LY,31.6682,20.2521,67.53,24,0,7.85,clear sky
285,San Pedro,PH,14.35,121.0167,85.32,62,8,13.27,clear sky
