City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Areosa,PT,43.29,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
139,Ramhormoz,IR,72.46,few clouds,31.28,49.6035,کافی نت کاریزما
140,Corrente,BR,73.06,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
141,Tolstoy-Yurt,RU,55.72,clear sky,43.4444,45.7722,
143,Hasaki,JP,50.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
144,Hyeres,FR,42.73,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
147,Arraial Do Cabo,BR,76.51,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
148,Sabang,ID,80.13,light rain,5.8933,95.3214,Hotel Citra
150,Victoria,HK,64.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
151,San Andres,CO,79.93,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
152,Jiujiang,CN,59.81,clear sky,29.7333,115.9833,Tianhai Fashion Theme Hotel
154,Innisfail,AU,83.7,overcast clouds,-17.5333,146.0333,Moondarra Motel
155,San Ramon,US,78.42,clear sky,37.7799,-121.978,San Ramon Marriott
157,Abu Dhabi,AE,71.96,clear sky,24.4667,54.3667,Beach Rotana
158,Zambezi,ZM,65.59,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
159,Sola,VU,81.86,moderate rain,-13.8833,167.55,Leumerus Bungalows
160,Tuatapere,NZ,61.39,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
161,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
162,Namibe,AO,70.79,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
163,Valdez,EC,80.24,light rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
165,Olafsvik,IS,42.69,light rain,64.8945,-23.7142,Hotel Olafsvik
166,Sandakan,MY,77.74,overcast clouds,5.8402,118.1179,Hotel Sandakan
167,Porgera,PG,59.29,scattered clouds,-5.4667,143.2,
168,Half Moon Bay,US,77.02,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
169,Fort-Shevchenko,KZ,50.54,few clouds,44.5086,50.263,Oasis hotel Bautino
170,Dali,CN,46.06,broken clouds,25.7,100.1833,Dali Travelling With Hostel
171,La Huacana,MX,81.91,broken clouds,18.9667,-101.8167,Hotel Yunuen
172,Tapes,BR,68.74,clear sky,-30.6733,-51.3958,Cabanas Camping Union
176,Kashi,CN,55.76,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
177,Ogaminana,NG,77.52,broken clouds,7.5946,6.2248,Billy Guest Inn
179,Miguel Hidalgo,MX,80.01,scattered clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
180,Mamu Kanjan,PK,69.46,clear sky,30.8333,72.8,Mian Qaisar Hayat House
181,Araouane,ML,83.43,clear sky,18.9048,-3.5265,
183,Jalu,LY,73.85,overcast clouds,29.0331,21.5482,صاحبة الفخامة
184,Cockburn Town,TC,77.88,clear sky,21.4612,-71.1419,Osprey Beach Hotel
185,Cerrito,CO,54.82,broken clouds,6.8432,-72.694,Yariseth juliana
186,Pangkalanbuun,ID,81.86,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
187,Coquimbo,CL,55.13,few clouds,-29.9533,-71.3436,Hotel San Juan
188,Lagoa,PT,58.53,overcast clouds,39.05,-27.9833,Casa Das Faias
190,Alofi,NU,80.83,light rain,-19.0595,-169.9187,Taloa Heights
