City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Bhadasar,IN,2022-03-31 14:30:45,28.2833,74.3167,87.87,5,0,8.61
144,Wenatchee,US,2022-03-31 14:30:45,47.4235,-120.3103,41.97,60,0,4.61
145,Anchorage,US,2022-03-31 14:28:46,61.2181,-149.9003,38.28,74,100,10.36
146,Chuy,UY,2022-03-31 14:30:48,-33.6971,-53.4616,65.08,41,24,9.98
147,North Platte,US,2022-03-31 14:30:48,41.1239,-100.7654,24.69,80,0,6.91
148,Teplyk,UA,2022-03-31 14:30:48,48.6657,29.745,65.68,38,100,6.44
149,Xining,CN,2022-03-31 14:30:49,36.6167,101.7667,38.16,61,100,10.27
150,Puerto Carreno,CO,2022-03-31 14:30:49,6.189,-67.4859,85.98,51,19,11.5
151,Nyaunglebin,MM,2022-03-31 14:30:50,17.95,96.7333,80.67,47,4,5.32
152,Port Blair,IN,2022-03-31 14:30:51,11.6667,92.75,82.36,72,23,6.38
153,Nchelenge,ZM,2022-03-31 14:30:52,-9.3451,28.734,73.27,79,92,7.58
154,Sur,OM,2022-03-31 14:30:52,22.5667,59.5289,80.1,51,0,2.53
155,General Roca,AR,2022-03-31 14:30:52,-39.0333,-67.5833,61.63,16,1,12.71
156,Kahului,US,2022-03-31 14:30:52,20.8947,-156.47,74.84,78,0,8.01
157,Lompoc,US,2022-03-31 14:30:53,34.6391,-120.4579,53.13,79,100,15.99
158,Trebinje,BA,2022-03-31 14:30:53,42.7119,18.3442,56.75,100,100,21.85
159,Khorramshahr,IR,2022-03-31 14:30:53,30.4397,48.1664,91.36,9,0,9.22
160,Ribeira Grande,PT,2022-03-31 14:30:53,38.5167,-28.7,64.8,88,75,4.61
161,Mbini,GQ,2022-03-31 14:30:54,1.574,9.6134,84.16,73,100,7.96
162,Lavrentiya,RU,2022-03-31 14:30:44,65.5833,-171.0,14.09,87,100,11.7
163,Spas,UA,2022-03-31 14:30:54,48.8899,24.0629,48.31,92,100,1.9
164,Isangel,VU,2022-03-31 14:30:55,-19.55,169.2667,80.67,86,88,6.13
165,Atar,MR,2022-03-31 14:31:29,20.5169,-13.0499,91.62,12,63,10.47
166,Port Hardy,CA,2022-03-31 14:30:17,50.6996,-127.4199,41.0,93,75,0.0
167,Salta,AR,2022-03-31 14:29:13,-24.7859,-65.4117,55.58,72,75,5.75
168,Faanui,PF,2022-03-31 14:31:29,-16.4833,-151.75,81.91,69,20,17.63
169,Shimoda,JP,2022-03-31 14:31:29,34.6667,138.95,53.1,92,100,14.07
170,Spasskoye,RU,2022-03-31 14:31:30,44.6108,132.7969,29.32,68,100,8.9
171,Chimore,BO,2022-03-31 14:31:30,-16.9833,-65.1333,55.83,94,100,1.79
172,Xingyi,CN,2022-03-31 14:31:31,24.1877,102.817,53.24,90,98,5.61
173,Ponta Delgada,PT,2022-03-31 14:31:32,37.7333,-25.6667,63.32,88,75,5.75
174,Kushima,JP,2022-03-31 14:31:32,31.4583,131.2333,56.3,92,100,3.4
175,Mahebourg,MU,2022-03-31 14:31:32,-20.4081,57.7,79.09,69,75,18.41
